,name,id,ingredients,nutrition,minutes,score
0,emerald ecstasy  green smoothie,342619.0,"['green grapes', 'banana', 'fresh pineapple', 'apple', 'fresh spinach', 'ice']","[167.9, 0.0, 127.0, 1.0, 4.0, 0.0, 14.0]",6.0,0.608
1,a bit of this smoothie,321494.0,"['orange', 'apple', 'kiwi fruit', 'baby spinach leaves', 'vanilla yogurt', 'banana', 'pineapple juice']","[310.7, 5.0, 179.0, 4.0, 16.0, 7.0, 23.0]",3.0,0.518
2,sweet dreams  shake,29916.0,"['milk', 'banana', 'honey']","[325.0, 14.0, 126.0, 5.0, 18.0, 28.0, 18.0]",10.0,0.469
3,all american apple pie spread,395671.0,"['cream cheese', 'apple juice', 'brown sugar', 'apple pie spice', 'apple', 'pecans']","[60.9, 7.0, 10.0, 1.0, 2.0, 15.0, 1.0]",10.0,0.426
4,almond banana shake,340071.0,"['banana', 'almond milk', 'ground cinnamon']","[111.5, 0.0, 57.0, 0.0, 2.0, 0.0, 9.0]",4.0,0.413
5,jamba juice at home  strawberries wild  smoothie,152259.0,"['apple juice', 'strawberry', 'banana', 'non-fat vanilla frozen yogurt', 'ice']","[76.5, 0.0, 57.0, 0.0, 1.0, 0.0, 6.0]",10.0,0.405
6,a mouth watering smoothie,132587.0,"['mixed berries', 'plain yogurt', 'banana', 'apple juice', 'ice cubes']","[401.4, 7.0, 78.0, 2.0, 16.0, 13.0, 28.0]",2.0,0.386
7,a tropical fruit parfait,284060.0,"['banana', 'apple juice', 'mango', 'kiwi', 'granola cereal']","[455.9, 13.0, 236.0, 0.0, 15.0, 8.0, 31.0]",5.0,0.385
8,african peanut dipping sauce,25020.0,"['onions', 'peanut oil', 'cayenne', 'ground ginger', 'banana', 'tomato juice', 'apple juice', 'peanut butter']","[304.6, 30.0, 62.0, 13.0, 19.0, 19.0, 9.0]",35.0,0.375
9,2 ingredients  eggs   banana  pancakes,501408.0,"['eggs', 'banana', 'cooking spray']","[248.0, 15.0, 59.0, 5.0, 27.0, 16.0, 9.0]",10.0,0.370
10,apple a day  milk shake,5289.0,"['milk', 'vanilla ice cream', 'frozen apple juice concentrate', 'apple']","[160.2, 10.0, 55.0, 3.0, 9.0, 20.0, 7.0]",0.0,0.359
11,1905 blue ribbon fruit cup,242259.0,"['pink grapefruit', 'oranges', 'fresh pineapple', 'banana', 'apple', 'pineapple juice', 'sugar']","[172.4, 0.0, 135.0, 0.0, 3.0, 0.0, 14.0]",75.0,0.355
12,10 minute creamed spinach,94547.0,"['cream of spinach soup mix', 'milk', 'frozen chopped spinach', 'nutmeg', 'pepper']","[86.5, 5.0, 5.0, 5.0, 15.0, 9.0, 3.0]",10.0,0.353
13,3 ingredient cinnamon banana slice,18766.0,"['whole wheat bread', 'banana', 'cinnamon']","[114.6, 2.0, 30.0, 6.0, 6.0, 1.0, 8.0]",5.0,0.352
14,greens to go  smoothie,353044.0,"['banana', 'water', 'honey', 'apple', 'coconut milk', 'flax seed oil', 'oat bran', 'greens']","[209.5, 20.0, 64.0, 1.0, 5.0, 58.0, 7.0]",6.0,0.348
15,pinards en branche  sauted spinach,306245.0,"['fresh spinach', 'water', 'nutmeg', 'butter']","[61.8, 5.0, 2.0, 6.0, 9.0, 9.0, 1.0]",50.0,0.341
16,amazing apple nut muffins,372356.0,"['egg', 'apple juice', 'vegetable oil', 'vanilla', 'sugar', 'flour', 'brown sugar', 'baking powder', 'salt', 'pecans', 'apple', 'cinnamon']","[245.4, 20.0, 50.0, 8.0, 6.0, 8.0, 9.0]",35.0,0.340
17,aloha smoothie,43281.0,"['pineapple juice', 'strawberry yogurt', 'banana']","[434.0, 5.0, 126.0, 6.0, 25.0, 11.0, 30.0]",10.0,0.325
18,abs diet better breakfast smoothie,276697.0,"['banana', 'peach', 'orange juice', 'ice']","[171.1, 1.0, 111.0, 0.0, 5.0, 0.0, 14.0]",5.0,0.322
19,100  healthy   lucious spice cake  low calorie,417632.0,"['canned corn', 'apple juice', 'egg', 'egg whites', 'instant oats', 'banana', 'walnuts', 'baking powder', 'ground cinnamon', 'ground nutmeg', 'cinnamon', 'vanilla sugar']","[713.9, 22.0, 109.0, 31.0, 63.0, 16.0, 41.0]",25.0,0.312
20,cream  of spinach soup  vegan,24701.0,"['onion', 'scallion', 'apple juice', 'olive oil', 'spinach', 'fresh parsley', 'celery', 'broth', 'rolled oats', 'salt', 'dried thyme', 'white pepper']","[64.8, 3.0, 13.0, 54.0, 4.0, 2.0, 3.0]",55.0,0.310
21,acorn squash stuffed with apple couscous,252234.0,"['couscous', 'apple juice', 'prune', 'dried cranberries', 'dried apple', 'apple juice concentrate', 'cardamom', 'maple syrup', 'acorn squash', 'pecans']","[224.1, 0.0, 46.0, 0.0, 9.0, 0.0, 17.0]",35.0,0.300
22,african spinach and peanut butter stew,348276.0,"['onions', 'tomatoes', 'spinach', 'peanut butter', 'salt', 'pepper', 'oil']","[184.7, 14.0, 28.0, 10.0, 23.0, 9.0, 6.0]",25.0,0.287
23,99 bananas  foster oatmeal,341118.0,"['oatmeal', 'water', 'brown sugar cinnamon syrup', 'brown sugar', 'butter', 'banana', 'coffee-mate cinnamon vanilla liquid creamer', 'banana schnapps', 'chocolate whipped cream']","[288.1, 15.0, 123.0, 3.0, 7.0, 28.0, 16.0]",10.0,0.286
24,a healthy chocolate smoothie,162376.0,"['banana', 'ovaltine', 'vanilla ice cream']","[200.7, 7.0, 114.0, 6.0, 5.0, 14.0, 12.0]",3.0,0.284
25,acne cleansing salad,163591.0,"['olive oil', 'apple cider vinegar', 'garlic', 'onion', 'baby spinach', 'rocket', 'collard greens', 'carrot']","[194.8, 21.0, 15.0, 3.0, 7.0, 9.0, 5.0]",5.0,0.284
26,adult fruit salad    alcoholic  martinique    caribbean,373741.0,"['banana', 'kiwi fruits', 'navel orange', 'fuji apple', 'green grape', 'strawberry', 'fresh pineapple', 'rum']","[108.2, 0.0, 69.0, 0.0, 2.0, 0.0, 8.0]",10.0,0.281
27,creamed  spinach,16327.0,"['frozen spinach', 'onion', 'yogurt', 'parmesan cheese']","[92.5, 4.0, 21.0, 5.0, 15.0, 6.0, 4.0]",12.0,0.280
28,p anana confetti circles,25512.0,"['banana', 'peanut butter', 'candy sprinkles']","[146.6, 12.0, 34.0, 3.0, 9.0, 8.0, 5.0]",5.0,0.278
29,albanian byrek,4880.0,"['flour', 'water', 'oil', 'vinegar', 'salt', 'butter', 'spinach', 'yogurt', 'eggs']","[354.4, 42.0, 25.0, 59.0, 37.0, 37.0, 2.0]",0.0,0.276
30,tasty dish s   banana pudding in 2 minutes,286484.0,"['banana', 'plain yogurt', 'ground nutmeg', 'pure vanilla extract']","[72.9, 1.0, 34.0, 0.0, 3.0, 3.0, 5.0]",2.0,0.275
31,need a pick me up  banana peanut butter smoothie  no,276865.0,"['banana', 'milk', 'creamy peanut butter', 'unsweetened cocoa powder']","[283.3, 20.0, 63.0, 5.0, 19.0, 24.0, 12.0]",10.0,0.272
32,almost instant baked apple,389851.0,"['apple', 'brown sugar', 'cinnamon', 'raisins', 'butter', 'water', 'cream']","[211.1, 6.0, 152.0, 1.0, 1.0, 12.0, 15.0]",7.0,0.267
33,5 a day smoothie,170981.0,"['orange', 'banana', 'sweet potato', 'carrot', 'orange juice']","[415.0, 1.0, 222.0, 4.0, 13.0, 1.0, 33.0]",10.0,0.267
34,acorn squash with cranberry stuffing,31146.0,"['acorn squash', 'onion', 'celery rib', 'salt', 'pepper', 'allspice', 'apple', 'apple juice', 'cranberries', 'raisins', 'brown sugar', 'bread', 'nuts']","[108.3, 1.0, 32.0, 8.0, 3.0, 0.0, 8.0]",105.0,0.264
35,almond cherry cereal,317271.0,"['bran flakes', 'almond butter', 'banana', 'cherries', 'soymilk']","[381.3, 25.0, 87.0, 15.0, 22.0, 8.0, 18.0]",5.0,0.255
